Year,ISO_Code,Countries,Size of Government,Legal System & Property Rights,Sound Money,Freedom to Trade Internationally,Regulation
2017,MEX,Mexico,7.9,4.18,7.89,7.64,7.05
2017,MKD,Macedonia (North Macedonia),6.74,4.31,8.14,7.89,8.02
2017,MLI,Mali,5.71,3.46,7.3,6.87,6.2
2017,MLT,Malta,7.08,6.45,9.55,8.42,8.34
2017,MMR,Myanmar,6.81,3.61,6.67,5.21,5.85
2017,MNE,Montenegro,5.93,4.89,8.15,8.17,7.04
2017,MNG,Mongolia,7.86,5.81,9.1,6.73,7.63
2017,MOZ,Mozambique,5.43,4.1,6.94,6.52,5
2017,MRT,Mauritania,5.86,3.71,8.05,6.02,6.9
2017,MUS,Mauritius,8.05,6.86,9.44,8.48,7.5
2017,MWI,Malawi,5.95,4.74,6.98,6.62,6.01
2017,MYS,Malaysia,6.44,5.57,8.23,7.79,8.67
2017,NAM,Namibia,5.71,6.36,6.46,6.48,7.66
2017,NER,Niger,6.24,3.74,7.08,5.57,6.54
2017,NGA,Nigeria,8.59,3.32,8.57,6.08,7.75
2017,NIC,Nicaragua,6.64,4.43,9.15,7.8,7.01
2017,NLD,Netherlands,4.34,8.11,9.42,8.66,8.06
2017,NOR,Norway,4.93,8.48,9.55,7.57,7.59
2017,NPL,Nepal,7.22,4.54,6.81,6.63,7.24
2017,NZL,New Zealand,6.64,8.61,9.51,8.61,9.13
2017,OMN,Oman,4.44,6.18,8.74,7.67,6.77
2017,PAK,Pakistan,7.02,3.63,6.67,5.85,6.36
2017,PAN,Panama,7.87,5.17,9.74,8.65,6.87
2017,PER,Peru,7.53,4.73,9.72,8.24,7.22
2017,PHL,Philippines,8.29,4.21,9.52,7.16,7.41
2017,PNG,Pap. New Guinea,6.09,4.18,6.47,7.32,7.71
2017,POL,Poland,5.63,5.78,9.7,7.89,7.19
2017,PRT,Portugal,6.2,6.84,9.39,8.35,6.81
2017,PRY,Paraguay,8.3,3.87,9.43,7.32,6.25
